sort_name;random_time;random_steps;sorted_time;sorted_steps;reversed_time;reversed_steps;same_el_time;same_el_steps
BubbleSort;0.369;499500;0.256;499500;0.245;499500;0.246;499500
BubbleSortIverson1;0.375;499247;0.002;999;0.269;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.96;499500;0.957;499500;0.959;499500;0.957;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.192;499500;0.192;499500;0.192;499500;0.192;499500
CountingSort;0.001;0;0;0;0.001;0;0;0
RadixSort;0.131;62000;0.078;62000;0.077;62000;0.081;62000
MergeSort;0.133;512;0.13;512;0.132;512;0.13;512
HoarSort;0.045;8457;0.009;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0.001;0;0;0
HeapSort;0.027;0;0.002;0;0.037;0;0.002;0
BubbleSort;0.383;499500;0.255;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.39;497289;0.001;999;0.263;499500;0;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.001;0
SelectionSort;0.966;499500;0.951;499500;0.948;499500;0.958;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.194;499500;0.192;499500;0.191;499500;0.192;499500
CountingSort;0;0;0;0;0;0;0.001;0
RadixSort;0.133;62000;0.079;62000;0.077;62000;0.081;62000
MergeSort;0.137;512;0.131;512;0.131;512;0.17;512
HoarSort;0.047;8881;0.008;9976;0.007;8977;0.008;999
LomutoSort;0.001;0;0.001;0;0.001;0;0.001;0
HeapSort;0.021;0;0.002;0;0.031;0;0.002;0
BubbleSort;0.37;499500;0.253;499500;0.245;499500;0.245;499500
BubbleSortIverson1;0.38;498720;0.002;999;0.259;499500;0.001;999
BubbleSortIverson1&2;0.002;0;0;0;0;0;0.001;0
SelectionSort;0.939;499500;0.936;499500;0.941;499500;0.97;499500
LinearInsertionSort;0;0;0.001;0;0.001;0;0;0
BinaryInsertionSort;0.192;499500;0.193;499500;0.185;499500;0.192;499500
CountingSort;0.002;0;0;0;0;0;0.001;0
RadixSort;0.131;62000;0.077;62000;0.078;62000;0.081;62000
MergeSort;0.135;512;0.132;512;0.131;512;0.133;512
HoarSort;0.046;7927;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0;0
HeapSort;0.025;0;0.002;0;0.039;0;0.002;0
BubbleSort;0.381;499500;0.253;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.386;498720;0.001;999;0.262;499500;0;999
BubbleSortIverson1&2;0;0;0.002;0;0;0;0.001;0
SelectionSort;0.966;499500;0.986;499500;0.98;499500;0.957;499500
LinearInsertionSort;0;0;0;0;0;0;0.001;0
BinaryInsertionSort;0.193;499500;0.191;499500;0.196;499500;0.191;499500
CountingSort;0.001;0;0;0;0;0;0.001;0
RadixSort;0.132;62000;0.077;62000;0.077;62000;0.08;62000
MergeSort;0.135;512;0.131;512;0.131;512;0.131;512
HoarSort;0.046;8662;0.009;9976;0.008;8977;0.008;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.026;0;0.002;0;0.034;0;0.001;0
BubbleSort;0.375;499500;0.253;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.383;498939;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0.002;0;0;0;0.001;0;0;0
SelectionSort;0.967;499500;0.957;499500;0.958;499500;1.167;499500
LinearInsertionSort;0.001;0;0.001;0;0.001;0;0.002;0
BinaryInsertionSort;0.638;499500;0.573;499500;0.566;499500;0.31;499500
CountingSort;0.002;0;0.001;0;0;0;0;0
RadixSort;0.133;62000;0.077;62000;0.077;62000;0.081;62000
MergeSort;0.137;512;0.135;512;0.135;512;0.132;512
HoarSort;0.045;8421;0.009;9976;0.007;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0;0
HeapSort;0.024;0;0.002;0;0.039;0;0.001;0
BubbleSort;0.373;499500;0.254;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.379;498510;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0;0;0;0
SelectionSort;0.949;499500;0.936;499500;0.963;499500;0.928;499500
LinearInsertionSort;0;0;0.001;0;0;0;0;0
BinaryInsertionSort;0.191;499500;0.193;499500;0.191;499500;0.191;499500
CountingSort;0;0;0.001;0;0;0;0;0
RadixSort;0.131;62000;0.077;62000;0.077;62000;0.08;62000
MergeSort;0.135;512;0.133;512;0.132;512;0.131;512
HoarSort;0.047;8601;0.008;9976;0.009;8977;0.008;999
LomutoSort;0;0;0;0;0;0;0;0
HeapSort;0.019;0;0.001;0;0.032;0;0.001;0
BubbleSort;0.378;499500;0.254;499500;0.37;499500;0.472;499500
BubbleSortIverson1;0.56;498939;0.001;999;0.264;499500;0.001;999
BubbleSortIverson1&2;0;0;0.001;0;0.001;0;0.001;0
SelectionSort;0.96;499500;0.953;499500;0.958;499500;0.956;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.192;499500;0.192;499500;0.192;499500;0.191;499500
CountingSort;0;0;0;0;0.001;0;0;0
RadixSort;0.133;62000;0.077;62000;0.076;62000;0.08;62000
MergeSort;0.135;512;0.133;512;0.131;512;0.131;512
HoarSort;0.045;9929;0.009;9976;0.008;8977;0.008;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.026;0;0.002;0;0.036;0;0.002;0
BubbleSort;0.38;499500;0.254;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.39;499290;0.001;999;0.262;499500;0.001;999
BubbleSortIverson1&2;0;0;0.002;0;0;0;0;0
SelectionSort;0.969;499500;0.957;499500;0.959;499500;0.956;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.192;499500;0.192;499500;0.191;499500;0.193;499500
CountingSort;0;0;0;0;0.001;0;0;0
RadixSort;0.132;62000;0.077;62000;0.078;62000;0.08;62000
MergeSort;0.136;512;0.132;512;0.132;512;0.132;512
HoarSort;0.045;8563;0.009;9976;0.007;8977;0.007;999
LomutoSort;0;0;0.002;0;0;0;0.001;0
HeapSort;0.023;0;0.001;0;0.037;0;0.003;0
BubbleSort;0.38;499500;0.254;499500;0.256;499500;0.253;499500
BubbleSortIverson1;0.383;498510;0.001;999;0.262;499500;0.001;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0;0
SelectionSort;0.989;499500;0.969;499500;0.958;499500;0.959;499500
LinearInsertionSort;0.001;0;0.001;0;0;0;0;0
BinaryInsertionSort;0.192;499500;0.191;499500;0.216;499500;0.193;499500
CountingSort;0;0;0.001;0;0;0;0.002;0
RadixSort;0.14;62000;0.077;62000;0.077;62000;0.082;62000
MergeSort;0.136;512;0.132;512;0.132;512;0.131;512
HoarSort;0.045;9715;0.008;9976;0.008;8977;0.009;999
LomutoSort;0;0;0.001;0;0.001;0;0;0
HeapSort;0.02;0;0.003;0;0.034;0;0.001;0
BubbleSort;0.419;499500;0.256;499500;0.256;499500;0.253;499500
BubbleSortIverson1;0.381;496944;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0.001;0
SelectionSort;0.968;499500;0.953;499500;0.946;499500;0.955;499500
LinearInsertionSort;0;0;0;0;0;0;0;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.193;499500;0.22;499500
CountingSort;0.001;0;0;0;0.001;0;0;0
RadixSort;0.148;62000;0.077;62000;0.077;62000;0.093;62000
MergeSort;0.133;512;0.133;512;0.132;512;0.132;512
HoarSort;0.046;7984;0.009;9976;0.007;8977;0.007;999
LomutoSort;0;0;0.001;0;0;0;0;0
HeapSort;0.024;0;0.002;0;0.036;0;0.002;0
BubbleSort;0.377;499500;0.258;499500;0.254;499500;0.291;499500
BubbleSortIverson1;0.384;498797;0.001;999;0.264;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0.001;0;0;0
SelectionSort;0.999;499500;0.968;499500;1.006;499500;0.957;499500
LinearInsertionSort;0;0;0.001;0;0;0;0.001;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.192;499500;0.192;499500
CountingSort;0;0;0;0;0.001;0;0;0
RadixSort;0.133;62000;0.077;62000;0.077;62000;0.081;62000
MergeSort;0.136;512;0.132;512;0.134;512;0.135;512
HoarSort;0.046;8368;0.008;9976;0.008;8977;0.009;999
LomutoSort;0.001;0;0;0;0;0;0;0
HeapSort;0.024;0;0.003;0;0.032;0;0.001;0
BubbleSort;0.376;499500;0.254;499500;0.255;499500;0.254;499500
BubbleSortIverson1;0.382;497420;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0.001;0;0;0
SelectionSort;0.966;499500;0.961;499500;0.959;499500;0.958;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.192;499500;0.192;499500;0.19;499500;0.193;499500
CountingSort;0.001;0;0.001;0;0;0;0;0
RadixSort;0.13;62000;0.08;62000;0.077;62000;0.081;62000
MergeSort;0.135;512;0.132;512;0.147;512;0.133;512
HoarSort;0.047;8087;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0.001;0;0;0;0.001;0
HeapSort;0.025;0;0.001;0;0.042;0;0.002;0
BubbleSort;0.379;499500;0.254;499500;0.255;499500;0.253;499500
BubbleSortIverson1;0.386;496799;0.001;999;0.263;499500;0.002;999
BubbleSortIverson1&2;0.001;0;0;0;0;0;0.001;0
SelectionSort;0.967;499500;0.958;499500;0.97;499500;0.969;499500
LinearInsertionSort;0.001;0;0.001;0;0.001;0;0;0
BinaryInsertionSort;0.193;499500;0.192;499500;0.192;499500;0.192;499500
CountingSort;0.001;0;0;0;0.001;0;0;0
RadixSort;0.132;62000;0.077;62000;0.077;62000;0.082;62000
MergeSort;0.135;512;0.133;512;0.132;512;0.132;512
HoarSort;0.046;9378;0.008;9976;0.009;8977;0.008;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.027;0;0.001;0;0.041;0;0.002;0
BubbleSort;0.38;499500;0.254;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.384;497609;0;999;0.322;499500;0.002;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;0.971;499500;0.959;499500;0.959;499500;0.958;499500
LinearInsertionSort;0.002;0;0.004;0;0;0;0.002;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.192;499500;0.192;499500
CountingSort;0.001;0;0;0;0;0;0.001;0
RadixSort;0.13;62000;0.078;62000;0.077;62000;0.081;62000
MergeSort;0.136;512;0.133;512;0.134;512;0.134;512
HoarSort;0.046;9731;0.009;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0.001;0;0;0
HeapSort;0.023;0;0.001;0;0.04;0;0.001;0
BubbleSort;0.376;499500;0.255;499500;0.254;499500;0.253;499500
BubbleSortIverson1;0.384;498972;0.001;999;0.265;499500;0.002;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0;0
SelectionSort;0.968;499500;0.958;499500;0.96;499500;0.959;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.191;499500;0.193;499500
CountingSort;0;0;0;0;0.001;0;0;0
RadixSort;0.131;62000;0.077;62000;0.077;62000;0.081;62000
MergeSort;0.136;512;0.132;512;0.132;512;0.132;512
HoarSort;0.046;8260;0.008;9976;0.007;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0.001;0
HeapSort;0.026;0;0.002;0;0.033;0;0.001;0
BubbleSort;0.378;499500;0.253;499500;0.255;499500;0.254;499500
BubbleSortIverson1;0.385;498759;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0.002;0;0.001;0;0;0;0;0
SelectionSort;0.967;499500;0.957;499500;0.958;499500;0.957;499500
LinearInsertionSort;0;0;0.001;0;0;0;0.001;0
BinaryInsertionSort;0.192;499500;0.193;499500;0.192;499500;0.194;499500
CountingSort;0;0;0.001;0;0;0;0;0
RadixSort;0.132;62000;0.077;62000;0.077;62000;0.083;62000
MergeSort;0.135;512;0.132;512;0.132;512;0.131;512
HoarSort;0.044;9227;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0;0
HeapSort;0.025;0;0.001;0;0.036;0;0.001;0
BubbleSort;0.382;499500;0.255;499500;0.254;499500;0.255;499500
BubbleSortIverson1;0.386;497847;0.002;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0;0;0;0
SelectionSort;0.968;499500;0.975;499500;0.959;499500;0.958;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.194;499500;0.193;499500;0.193;499500;0.193;499500
CountingSort;0;0;0.001;0;0;0;0.001;0
RadixSort;0.144;62000;0.077;62000;0.077;62000;0.081;62000
MergeSort;0.135;512;0.13;512;0.13;512;0.214;512
HoarSort;0.046;8478;0.008;9976;0.008;8977;0.009;999
LomutoSort;0.001;0;0;0;0.001;0;0.001;0
HeapSort;0.022;0;0.002;0;0.034;0;0.001;0
BubbleSort;0.376;499500;0.254;499500;0.255;499500;0.253;499500
BubbleSortIverson1;0.389;498680;0.002;999;0.303;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.991;499500;0.978;499500;0.958;499500;0.958;499500
LinearInsertionSort;0;0;0.001;0;0;0;0;0
BinaryInsertionSort;0.193;499500;0.195;499500;0.193;499500;0.191;499500
CountingSort;0.001;0;0;0;0.001;0;0;0
RadixSort;0.142;62000;0.078;62000;0.077;62000;0.081;62000
MergeSort;0.137;512;0.132;512;0.131;512;0.133;512
HoarSort;0.045;10717;0.01;9976;0.007;8977;0.007;999
LomutoSort;0.001;0;0.001;0;0.001;0;0.001;0
HeapSort;0.021;0;0.001;0;0.036;0;0.002;0
BubbleSort;0.379;499500;0.253;499500;0.256;499500;0.254;499500
BubbleSortIverson1;0.385;498372;0.001;999;0.263;499500;0.001;999
