sort_name;random_time;random_steps;sorted_time;sorted_steps;reversed_time;reversed_steps;same_el_time;same_el_steps
CountingSort;0.001;0;0;0;0;0;0;0
RadixSort;0.13;62000;0.077;62000;0.077;62000;0.081;62000
MergeSort;0.136;512;0.132;512;0.131;512;0.132;512
HoarSort;0.046;9068;0.008;9976;0.009;8977;0.008;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.025;0;0.001;0;0.037;0;0.002;0
BubbleSort;0.381;499500;0.253;499500;0.255;499500;0.253;499500
BubbleSortIverson1;0.384;499200;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0.002;0;0;0;0.001;0
SelectionSort;0.968;499500;0.957;499500;0.958;499500;0.958;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.192;499500;0.191;499500;0.192;499500;0.192;499500
CountingSort;0;0;0;0;0;0;0;0
RadixSort;0.13;62000;0.077;62000;0.076;62000;0.08;62000
MergeSort;0.135;512;0.132;512;0.132;512;0.131;512
HoarSort;0.045;9273;0.008;9976;0.009;8977;0.008;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.025;0;0.002;0;0.034;0;0.002;0
BubbleSort;0.376;499500;0.254;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.384;499247;0.001;999;0.264;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.967;499500;0.962;499500;0.959;499500;0.959;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.192;499500;0.193;499500;0.191;499500;0.193;499500
CountingSort;0;0;0;0;0;0;0;0
RadixSort;0.13;62000;0.077;62000;0.076;62000;0.08;62000
MergeSort;0.135;512;0.132;512;0.133;512;0.132;512
HoarSort;0.045;9617;0.009;9976;0.007;8977;0.007;999
LomutoSort;0;0;0.001;0;0;0;0.002;0
HeapSort;0.024;0;0.001;0;0.034;0;0.002;0
BubbleSort;0.379;499500;0.254;499500;0.255;499500;0.253;499500
BubbleSortIverson1;0.385;498122;0.001;999;0.288;499500;0.002;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.001;0
SelectionSort;0.971;499500;0.958;499500;0.957;499500;0.961;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.202;499500;0.193;499500;0.193;499500;0.192;499500
CountingSort;0.001;0;0;0;0.002;0;0;0
RadixSort;0.132;62000;0.079;62000;0.077;62000;0.081;62000
MergeSort;0.138;512;0.133;512;0.132;512;0.132;512
HoarSort;0.048;8095;0.008;9976;0.008;8977;0.008;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.021;0;0.001;0;0.037;0;0.002;0
BubbleSort;0.384;499500;0.255;499500;0.255;499500;0.253;499500
BubbleSortIverson1;0.389;498797;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;0.967;499500;0.956;499500;0.963;499500;0.958;499500
LinearInsertionSort;0;0;0;0;0;0;0;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.192;499500;0.192;499500
CountingSort;0;0;0;0;0;0;0;0
RadixSort;0.131;62000;0.077;62000;0.077;62000;0.081;62000
MergeSort;0.136;512;0.132;512;0.131;512;0.131;512
HoarSort;0.045;8346;0.008;9976;0.007;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0.001;0
HeapSort;0.027;0;0.001;0;0.035;0;0.002;0
BubbleSort;0.378;499500;0.278;499500;0.254;499500;0.253;499500
BubbleSortIverson1;0.385;498174;0;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0.001;0
SelectionSort;0.966;499500;0.966;499500;0.959;499500;0.956;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.192;499500;0.193;499500;0.192;499500;0.192;499500
CountingSort;0.001;0;0;0;0.001;0;0;0
RadixSort;0.132;62000;0.078;62000;0.077;62000;0.081;62000
MergeSort;0.137;512;0.132;512;0.132;512;0.132;512
HoarSort;0.047;7792;0.008;9976;0.008;8977;0.008;999
LomutoSort;0;0;0;0;0;0;0;0
HeapSort;0.023;0;0.002;0;0.049;0;0.002;0
BubbleSort;0.379;499500;0.255;499500;0.255;499500;0.253;499500
BubbleSortIverson1;0.383;498939;0.001;999;0.262;499500;0.001;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.001;0
SelectionSort;1.03;499500;0.958;499500;0.962;499500;0.959;499500
LinearInsertionSort;0;0;0.001;0;0;0;0.001;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.192;499500;0.192;499500
CountingSort;0;0;0;0;0.002;0;0;0
RadixSort;0.132;62000;0.077;62000;0.078;62000;0.081;62000
MergeSort;0.135;512;0.132;512;0.133;512;0.132;512
HoarSort;0.046;8548;0.008;9976;0.007;8977;0.007;999
LomutoSort;0;0;0.001;0;0;0;0.002;0
HeapSort;0.025;0;0.002;0;0.03;0;0.001;0
BubbleSort;0.374;499500;0.256;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.38;499247;0.001;999;0.265;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0.001;0
SelectionSort;0.976;499500;0.962;499500;1.005;499500;0.947;499500
LinearInsertionSort;0.002;0;0;0;0;0;0.001;0
BinaryInsertionSort;0.192;499500;0.196;499500;0.192;499500;0.185;499500
CountingSort;0;0;0;0;0;0;0.001;0
RadixSort;0.14;62000;0.078;62000;0.078;62000;0.079;62000
MergeSort;0.132;512;0.133;512;0.131;512;0.128;512
HoarSort;0.044;9101;0.009;9976;0.007;8977;0.008;999
LomutoSort;0;0;0;0;0;0;0;0
HeapSort;0.021;0;0.002;0;0.041;0;0.002;0
BubbleSort;0.368;499500;0.252;499500;0.246;499500;0.247;499500
BubbleSortIverson1;0.374;498372;0.001;999;0.263;499500;0.002;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.939;499500;0.999;499500;0.947;499500;0.938;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.194;499500;0.193;499500;0.187;499500;0.192;499500
CountingSort;0.001;0;0.001;0;0;0;0;0
RadixSort;0.133;62000;0.078;62000;0.077;62000;0.08;62000
MergeSort;0.136;512;0.132;512;0.128;512;0.128;512
HoarSort;0.043;8428;0.01;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0.001;0;0;0
HeapSort;0.021;0;0.003;0;0.039;0;0.001;0
BubbleSort;0.375;499500;0.255;499500;0.252;499500;0.258;499500
BubbleSortIverson1;0.374;496014;0.001;999;0.261;499500;0.001;999
BubbleSortIverson1&2;0.002;0;0.001;0;0.001;0;0;0
SelectionSort;0.973;499500;0.96;499500;0.962;499500;0.976;499500
LinearInsertionSort;0.001;0;0;0;0.002;0;0;0
BinaryInsertionSort;0.193;499500;0.192;499500;0.193;499500;0.189;499500
CountingSort;0.001;0;0;0;0;0;0.001;0
RadixSort;0.13;62000;0.078;62000;0.077;62000;0.082;62000
MergeSort;0.136;512;0.133;512;0.131;512;0.128;512
HoarSort;0.046;9464;0.008;9976;0.008;8977;0.008;999
LomutoSort;0;0;0;0;0;0;0;0
HeapSort;0.022;0;0.001;0;0.04;0;0.001;0
BubbleSort;0.371;499500;0.255;499500;0.248;499500;0.245;499500
BubbleSortIverson1;0.371;499347;0;999;0.26;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;0.941;499500;0.939;499500;0.975;499500;0.954;499500
LinearInsertionSort;0;0;0.001;0;0;0;0;0
BinaryInsertionSort;0.198;499500;0.197;499500;0.193;499500;0.193;499500
CountingSort;0;0;0.001;0;0;0;0.001;0
RadixSort;0.134;62000;0.077;62000;0.077;62000;0.079;62000
MergeSort;0.13;512;0.132;512;0.129;512;0.126;512
HoarSort;0.045;8013;0.009;9976;0.008;8977;0.009;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.019;0;0.001;0;0.034;0;0.001;0
BubbleSort;0.375;499500;0.255;499500;0.251;499500;0.245;499500
BubbleSortIverson1;0.369;499122;0.001;999;0.261;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.947;499500;0.957;499500;0.952;499500;0.959;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.193;499500;0.194;499500;0.194;499500;0.194;499500
CountingSort;0;0;0.001;0;0.001;0;0;0
RadixSort;0.161;62000;0.078;62000;0.077;62000;0.08;62000
MergeSort;0.137;512;0.132;512;0.133;512;0.132;512
HoarSort;0.047;8670;0.008;9976;0.007;8977;0.008;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.025;0;0.002;0;0.031;0;0.003;0
BubbleSort;0.376;499500;0.256;499500;0.253;499500;0.254;499500
BubbleSortIverson1;0.383;499409;0.001;999;0.263;499500;0;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.968;499500;0.961;499500;0.96;499500;0.96;499500
LinearInsertionSort;0;0;0.001;0;0.001;0;0;0
BinaryInsertionSort;0.193;499500;0.191;499500;0.193;499500;0.194;499500
CountingSort;0;0;0.001;0;0;0;0;0
RadixSort;0.131;62000;0.077;62000;0.078;62000;0.081;62000
MergeSort;0.137;512;0.133;512;0.132;512;0.132;512
HoarSort;0.046;8543;0.008;9976;0.007;8977;0.007;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.02;0;0.002;0;0.036;0;0.002;0
BubbleSort;0.379;499500;0.256;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.381;497015;0;999;0.264;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0;0;0;0
SelectionSort;0.968;499500;0.959;499500;0.961;499500;0.958;499500
LinearInsertionSort;0.001;0;0;0;0;0;0.001;0
BinaryInsertionSort;0.193;499500;0.196;499500;0.193;499500;0.193;499500
CountingSort;0;0;0;0;0;0;0;0
RadixSort;0.133;62000;0.078;62000;0.077;62000;0.081;62000
MergeSort;0.137;512;0.132;512;0.133;512;0.133;512
HoarSort;0.045;8260;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0.001;0;0.001;0
HeapSort;0.022;0;0.002;0;0.042;0;0.002;0
BubbleSort;0.378;499500;0.255;499500;0.255;499500;0.255;499500
BubbleSortIverson1;0.384;498510;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0;0;0.001;0;0.001;0;0;0
SelectionSort;0.968;499500;0.959;499500;0.962;499500;0.96;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.193;499500;0.192;499500;0.193;499500;0.192;499500
CountingSort;0;0;0.001;0;0;0;0.002;0
RadixSort;0.131;62000;0.078;62000;0.077;62000;0.08;62000
MergeSort;0.136;512;0.132;512;0.133;512;0.133;512
HoarSort;0.045;8646;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0.001;0
HeapSort;0.023;0;0.001;0;0.041;0;0.002;0
BubbleSort;0.382;499500;0.253;499500;0.255;499500;0.254;499500
BubbleSortIverson1;0.385;499065;0.001;999;0.265;499500;0;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.001;0
SelectionSort;0.972;499500;0.958;499500;0.96;499500;0.959;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.193;499500;0.194;499500;0.193;499500;0.194;499500
CountingSort;0;0;0;0;0.001;0;0;0
RadixSort;0.131;62000;0.078;62000;0.078;62000;0.081;62000
MergeSort;0.136;512;0.133;512;0.131;512;0.132;512
HoarSort;0.044;9029;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.002;0;0;0;0.002;0;0;0
HeapSort;0.021;0;0.003;0;0.042;0;0.002;0
BubbleSort;0.381;499500;0.255;499500;0.255;499500;0.256;499500
BubbleSortIverson1;0.386;498759;0.001;999;0.263;499500;0;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.001;0
SelectionSort;0.968;499500;0.959;499500;0.96;499500;0.962;499500
LinearInsertionSort;0.001;0;0.001;0;0;0;0;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.192;499500;0.199;499500
CountingSort;0.002;0;0;0;0.001;0;0;0
RadixSort;0.131;62000;0.079;62000;0.081;62000;0.081;62000
MergeSort;0.144;512;0.134;512;0.131;512;0.13;512
HoarSort;0.046;9722;0.008;9976;0.008;8977;0.008;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.019;0;0.002;0;0.039;0;0.001;0
BubbleSort;0.376;499500;0.285;499500;0.255;499500;0.254;499500
BubbleSortIverson1;0.384;498069;0.001;999;0.264;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0;0;0;0
SelectionSort;0.972;499500;0.964;499500;0.965;499500;0.965;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.195;499500;0.195;499500;0.193;499500;0.194;499500
CountingSort;0;0;0.002;0;0;0;0;0
RadixSort;0.132;62000;0.078;62000;0.077;62000;0.082;62000
MergeSort;0.136;512;0.133;512;0.132;512;0.132;512
HoarSort;0.046;8270;0.01;9976;0.007;8977;0.007;999
LomutoSort;0;0;0.001;0;0.001;0;0.001;0
HeapSort;0.018;0;0.002;0;0.035;0;0.002;0
BubbleSort;0.38;499500;0.254;499500;0.254;499500;0.256;499500
BubbleSortIverson1;0.386;498122;0;999;0.264;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.969;499500;0.959;499500;0.959;499500;0.959;499500
LinearInsertionSort;0;0;0;0;0;0;0.001;0
BinaryInsertionSort;0.192;499500;0.194;499500;0.193;499500;0.193;499500
CountingSort;0;0;0;0;0;0;0;0
RadixSort;0.133;62000;0.078;62000;0.115;62000;0.082;62000
MergeSort;0.134;512;0.133;512;0.131;512;0.131;512
HoarSort;0.046;9483;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0.001;0;0.001;0
HeapSort;0.026;0;0.001;0;0.034;0;0.002;0
BubbleSort;0.385;499500;0.254;499500;0.254;499500;0.253;499500
BubbleSortIverson1;0.371;499035;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;0.953;499500;0.935;499500;0.929;499500;0.936;499500
LinearInsertionSort;0.002;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.192;499500;0.194;499500;0.193;499500;0.186;499500
CountingSort;0;0;0;0;0;0;0.001;0
RadixSort;0.131;62000;0.077;62000;0.077;62000;0.08;62000
MergeSort;0.134;512;0.131;512;0.128;512;0.129;512
HoarSort;0.044;9335;0.008;9976;0.008;8977;0.008;999
LomutoSort;0;0;0;0;0;0;0;0
HeapSort;0.025;0;0.001;0;0.04;0;0.002;0
BubbleSort;0.369;499500;0.256;499500;0.247;499500;0.251;499500
BubbleSortIverson1;0.395;498510;0.001;999;0.262;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;0.955;499500;0.959;499500;0.962;499500;0.959;499500
LinearInsertionSort;0;0;0;0;0;0;0;0
BinaryInsertionSort;0.194;499500;0.192;499500;0.191;499500;0.187;499500
CountingSort;0;0;0.001;0;0;0;0;0
RadixSort;0.134;62000;0.079;62000;0.077;62000;0.078;62000
MergeSort;0.135;512;0.132;512;0.129;512;0.126;512
HoarSort;0.043;10326;0.009;9976;0.007;8977;0.008;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.027;0;0.002;0;0.038;0;0.002;0
BubbleSort;0.372;499500;0.252;499500;0.246;499500;0.246;499500
BubbleSortIverson1;0.378;499329;0.001;999;0.261;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0.002;0;0;0
SelectionSort;0.998;499500;0.942;499500;0.937;499500;0.934;499500
LinearInsertionSort;0.001;0;0.001;0;0;0;0;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.189;499500;0.191;499500
CountingSort;0;0;0.001;0;0.001;0;0;0
RadixSort;0.131;62000;0.082;62000;0.081;62000;0.079;62000
MergeSort;0.139;512;0.134;512;0.133;512;0.133;512
HoarSort;0.046;8976;0.008;9976;0.008;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0.001;0
HeapSort;0.025;0;0.002;0;0.034;0;0.001;0
BubbleSort;0.364;499500;0.255;499500;0.252;499500;0.244;499500
BubbleSortIverson1;0.368;498639;0.001;999;0.262;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0.001;0;0;0;0;0
SelectionSort;0.946;499500;0.969;499500;0.954;499500;0.959;499500
LinearInsertionSort;0.001;0;0.001;0;0;0;0;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.193;499500;0.204;499500
CountingSort;0.001;0;0;0;0.002;0;0;0
RadixSort;0.131;62000;0.077;62000;0.077;62000;0.081;62000
MergeSort;0.142;512;0.133;512;0.146;512;0.136;512
HoarSort;0.047;7707;0.009;9976;0.008;8977;0.008;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.017;0;0.002;0;0.039;0;0.002;0
BubbleSort;0.371;499500;0.254;499500;0.245;499500;0.247;499500
BubbleSortIverson1;0.374;497730;0.001;999;0.262;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0.001;0
SelectionSort;0.939;499500;0.941;499500;0.934;499500;0.934;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.192;499500;0.191;499500;0.186;499500;0.185;499500
CountingSort;0;0;0.001;0;0;0;0.001;0
RadixSort;0.132;62000;0.078;62000;0.077;62000;0.08;62000
MergeSort;0.137;512;0.133;512;0.128;512;0.128;512
HoarSort;0.044;9221;0.009;9976;0.007;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0;0
HeapSort;0.024;0;0.002;0;0.038;0;0.001;0
BubbleSort;0.367;499500;0.256;499500;0.246;499500;0.244;499500
BubbleSortIverson1;0.368;498510;0.001;999;0.26;499500;0;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0;0
SelectionSort;0.942;499500;0.936;499500;0.94;499500;0.933;499500
LinearInsertionSort;0;0;0;0;0;0;0;0
BinaryInsertionSort;0.194;499500;0.194;499500;0.192;499500;0.193;499500
CountingSort;0;0;0;0;0.001;0;0.001;0
RadixSort;0.132;62000;0.078;62000;0.077;62000;0.081;62000
MergeSort;0.135;512;0.132;512;0.132;512;0.132;512
HoarSort;0.045;8684;0.008;9976;0.007;8977;0.009;999
LomutoSort;0.001;0;0;0;0;0;0;0
HeapSort;0.019;0;0.001;0;0.04;0;0.002;0
BubbleSort;0.378;499500;0.254;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.406;498797;0.002;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;0.937;499500;0.938;499500;0.928;499500;0.952;499500
LinearInsertionSort;0.001;0;0;0;0;0;0;0
BinaryInsertionSort;0.198;499500;0.194;499500;0.193;499500;0.179;499500
CountingSort;0.001;0;0.001;0;0.001;0;0.001;0
RadixSort;0.133;62000;0.083;62000;0.078;62000;0.079;62000
MergeSort;0.127;512;0.139;512;0.125;512;0.125;512
HoarSort;0.042;8084;0.008;9976;0.008;8977;0.008;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.022;0;0.002;0;0.038;0;0.002;0
BubbleSort;0.363;499500;0.253;499500;0.245;499500;0.247;499500
BubbleSortIverson1;0.375;499310;0.001;999;0.264;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.941;499500;0.915;499500;0.906;499500;0.902;499500
LinearInsertionSort;0;0;0.001;0;0;0;0.001;0
BinaryInsertionSort;0.195;499500;0.196;499500;0.202;499500;0.192;499500
CountingSort;0.002;0;0;0;0;0;0;0
RadixSort;0.134;62000;0.084;62000;0.078;62000;0.078;62000
MergeSort;0.126;512;0.138;512;0.136;512;0.127;512
HoarSort;0.045;8175;0.008;9976;0.008;8977;0.008;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.023;0;0.002;0;0.035;0;0.001;0
BubbleSort;0.369;499500;0.251;499500;0.248;499500;0.253;499500
BubbleSortIverson1;0.384;499269;0.002;999;0.265;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0.002;0;0;0;0.001;0
SelectionSort;0.933;499500;0.93;499500;0.921;499500;0.899;499500
LinearInsertionSort;0.001;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.195;499500;0.194;499500;0.178;499500;0.205;499500
CountingSort;0;0;0;0;0.001;0;0;0
RadixSort;0.15;62000;0.078;62000;0.079;62000;0.079;62000
MergeSort;0.129;512;0.137;512;0.124;512;0.123;512
HoarSort;0.042;8572;0.008;9976;0.008;8977;0.007;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.028;0;0.001;0;0.03;0;0.001;0
BubbleSort;0.355;499500;0.254;499500;0.242;499500;0.238;499500
BubbleSortIverson1;0.361;499310;0.001;999;0.258;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.002;0;0;0
SelectionSort;0.916;499500;0.918;499500;0.917;499500;0.892;499500
LinearInsertionSort;0.001;0;0.001;0;0.001;0;0.001;0
BinaryInsertionSort;0.193;499500;0.188;499500;0.194;499500;0.187;499500
CountingSort;0;0;0;0;0.001;0;0.001;0
RadixSort;0.13;62000;0.078;62000;0.077;62000;0.078;62000
MergeSort;0.131;512;0.137;512;0.132;512;0.129;512
HoarSort;0.047;9000;0.009;9976;0.008;8977;0.009;999
LomutoSort;0.001;0;0.001;0;0;0;0;0
HeapSort;0.02;0;0.002;0;0.039;0;0.001;0
BubbleSort;0.374;499500;0.251;499500;0.25;499500;0.245;499500
BubbleSortIverson1;0.381;496419;0;999;0.26;499500;0.001;999
BubbleSortIverson1&2;0.002;0;0;0;0;0;0;0
SelectionSort;0.962;499500;0.975;499500;0.91;499500;0.91;499500
LinearInsertionSort;0.001;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.193;499500;0.191;499500;0.179;499500;0.185;499500
CountingSort;0.001;0;0;0;0;0;0;0
RadixSort;0.133;62000;0.078;62000;0.078;62000;0.076;62000
MergeSort;0.13;512;0.134;512;0.125;512;0.122;512
HoarSort;0.045;8744;0.008;9976;0.007;8977;0.008;999
LomutoSort;0;0;0;0;0;0;0.001;0
HeapSort;0.016;0;0.003;0;0.039;0;0.002;0
BubbleSort;0.396;499500;0.252;499500;0.248;499500;0.236;499500
BubbleSortIverson1;0.361;496799;0.001;999;0.258;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0;0;0;0
SelectionSort;0.914;499500;0.912;499500;0.903;499500;0.909;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.191;499500;0.195;499500;0.183;499500;0.179;499500
CountingSort;0.001;0;0;0;0.001;0;0;0
RadixSort;0.132;62000;0.078;62000;0.077;62000;0.076;62000
MergeSort;0.134;512;0.133;512;0.125;512;0.122;512
HoarSort;0.041;10876;0.008;9976;0.007;8977;0.008;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.023;0;0.002;0;0.041;0;0.002;0
BubbleSort;0.357;499500;0.252;499500;0.246;499500;0.26;499500
BubbleSortIverson1;0.368;499472;0.001;999;0.28;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0.001;0;0.001;0;0;0
SelectionSort;0.938;499500;0.914;499500;0.916;499500;0.932;499500
LinearInsertionSort;0;0;0;0;0;0;0;0
BinaryInsertionSort;0.193;499500;0.192;499500;0.192;499500;0.204;499500
CountingSort;0;0;0.002;0;0;0;0.001;0
RadixSort;0.132;62000;0.078;62000;0.077;62000;0.079;62000
MergeSort;0.133;512;0.149;512;0.131;512;0.129;512
HoarSort;0.045;8493;0.008;9976;0.009;8977;0.008;999
LomutoSort;0.001;0;0;0;0;0;0.001;0
HeapSort;0.024;0;0.002;0;0.038;0;0.001;0
BubbleSort;0.364;499500;0.252;499500;0.241;499500;0.237;499500
BubbleSortIverson1;0.358;498122;0.001;999;0.257;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;0.972;499500;0.917;499500;0.903;499500;0.917;499500
LinearInsertionSort;0;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.193;499500;0.193;499500;0.179;499500;0.19;499500
CountingSort;0.001;0;0;0;0;0;0;0
RadixSort;0.132;62000;0.076;62000;0.079;62000;0.078;62000
MergeSort;0.133;512;0.13;512;0.124;512;0.122;512
HoarSort;0.042;9216;0.008;9976;0.007;8977;0.008;999
LomutoSort;0.001;0;0;0;0.001;0;0;0
HeapSort;0.022;0;0.001;0;0.036;0;0.002;0
BubbleSort;0.368;499500;0.252;499500;0.251;499500;0.245;499500
BubbleSortIverson1;0.371;498419;0.001;999;0.263;499500;0;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.002;0
SelectionSort;0.948;499500;0.933;499500;0.906;499500;0.943;499500
LinearInsertionSort;0.001;0;0.001;0;0;0;0.001;0
BinaryInsertionSort;0.193;499500;0.191;499500;0.189;499500;0.187;499500
CountingSort;0;0;0;0;0;0;0;0
RadixSort;0.131;62000;0.077;62000;0.076;62000;0.081;62000
MergeSort;0.134;512;0.133;512;0.129;512;0.128;512
HoarSort;0.047;8646;0.008;9976;0.009;8977;0.008;999
LomutoSort;0.001;0;0;0;0.002;0;0;0
HeapSort;0.02;0;0.002;0;0.035;0;0.003;0
BubbleSort;0.374;499500;0.25;499500;0.25;499500;0.272;499500
BubbleSortIverson1;0.367;498324;0.001;999;0.257;499500;0;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.002;0
SelectionSort;0.915;499500;0.938;499500;0.916;499500;0.905;499500
LinearInsertionSort;0.001;0;0;0;0;0;0.002;0
BinaryInsertionSort;0.19;499500;0.19;499500;0.18;499500;0.179;499500
CountingSort;0;0;0;0;0;0;0.001;0
RadixSort;0.131;62000;0.078;62000;0.077;62000;0.081;62000
MergeSort;0.13;512;0.13;512;0.123;512;0.122;512
HoarSort;0.043;7382;0.009;9976;0.007;8977;0.008;999
LomutoSort;0.002;0;0;0;0.001;0;0;0
HeapSort;0.024;0;0.002;0;0.04;0;0.002;0
BubbleSort;0.358;499500;0.252;499500;0.245;499500;0.237;499500
BubbleSortIverson1;0.358;499065;0.001;999;0.257;499500;0;999
BubbleSortIverson1&2;0;0;0.001;0;0;0;0.001;0
SelectionSort;0.913;499500;0.912;499500;0.919;499500;0.922;499500
LinearInsertionSort;0.002;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.195;499500;0.192;499500;0.184;499500;0.179;499500
CountingSort;0;0;0.001;0;0.001;0;0;0
RadixSort;0.131;62000;0.083;62000;0.08;62000;0.077;62000
MergeSort;0.147;512;0.137;512;0.125;512;0.123;512
HoarSort;0.044;8978;0.009;9976;0.008;8977;0.007;999
LomutoSort;0;0;0.001;0;0;0;0.001;0
HeapSort;0.019;0;0.002;0;0.034;0;0.002;0
BubbleSort;0.365;499500;0.253;499500;0.253;499500;0.246;499500
BubbleSortIverson1;0.373;497085;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;0.983;499500;0.958;499500;0.919;499500;0.928;499500
LinearInsertionSort;0;0;0;0;0;0;0;0
BinaryInsertionSort;0.192;499500;0.191;499500;0.179;499500;0.179;499500
CountingSort;0;0;0;0;0;0;0;0
RadixSort;0.131;62000;0.077;62000;0.077;62000;0.076;62000
MergeSort;0.134;512;0.132;512;0.123;512;0.123;512
HoarSort;0.042;8802;0.008;9976;0.008;8977;0.007;999
