sort_name;random_time_small;random_steps_small;random_time_big;random_steps_big;sorted_time;sorted_steps;reversed_time;reversed_steps;arr_len
BubbleSort;25;1225;22;1225;9;1225;25;1225;50
BubbleSortIverson1;19;1204;22;1180;2;97;24;1225;50
BubbleSortIverson1&2;22;1204;23;1126;1;85;26;1225;50
SelectionSort;10;1225;11;1225;9;1225;10;1225;50
LinearInsertionSort;12;462;16;664;2;7;24;1225;50
BinaryInsertionSort;11;683;15;880;3;244;20;1418;50
CountingSort;591;0;523;0;497;0;492;0;50
RadixSort;58;3100;56;3100;50;3100;46;3100;50
MergeSort;37;248;34;248;31;248;30;248;50
HoarSort;6;167;8;256;6;274;3;237;50
LomutoSort;9;407;8;280;21;1103;16;1274;50
HeapSort;19;0;21;0;22;0;18;0;50
BubbleSort;27;1770;27;1770;13;1770;35;1770;60
BubbleSortIverson1;26;1704;27;1749;2;117;35;1770;60
BubbleSortIverson1&2;31;1683;31;1635;2;115;38;1770;60
SelectionSort;13;1770;13;1770;12;1770;14;1770;60
LinearInsertionSort;16;767;17;788;1;12;35;1770;60
BinaryInsertionSort;17;1048;17;1065;4;309;28;2013;60
CountingSort;493;0;468;0;434;0;425;0;60
RadixSort;50;3720;57;3720;49;3720;47;3720;60
MergeSort;38;300;33;300;31;300;30;300;60
HoarSort;8;150;7;301;5;338;5;297;60
LomutoSort;9;458;7;326;23;1468;18;1829;60
HeapSort;20;0;23;0;23;0;20;0;60
BubbleSort;30;2415;33;2415;15;2415;55;2415;70
BubbleSortIverson1;35;2244;32;2184;3;137;39;2415;70
BubbleSortIverson1&2;33;2139;39;2166;2;137;43;2415;70
SelectionSort;16;2415;17;2415;14;2415;15;2415;70
LinearInsertionSort;17;955;22;1224;3;10;40;2415;70
BinaryInsertionSort;17;1299;21;1562;4;373;31;2715;70
CountingSort;424;0;432;0;431;0;430;0;70
RadixSort;57;4340;67;4340;58;4340;55;4340;70
MergeSort;41;417;43;417;37;417;37;417;70
HoarSort;9;221;8;430;6;414;5;363;70
LomutoSort;12;626;8;426;33;2128;24;2484;70
HeapSort;24;0;28;0;28;0;24;0;70
BubbleSort;45;3160;42;3160;17;3160;53;3160;80
BubbleSortIverson1;41;3094;41;3069;3;157;51;3160;80
BubbleSortIverson1&2;48;3053;50;3054;3;153;56;3160;80
SelectionSort;20;3160;19;3160;17;3160;19;3160;80
LinearInsertionSort;27;1517;28;1533;2;9;54;3160;80
BinaryInsertionSort;25;1918;25;1934;4;442;41;3520;80
CountingSort;425;0;436;0;433;0;440;0;80
RadixSort;63;4960;72;4960;62;4960;60;4960;80
MergeSort;44;479;44;479;41;479;40;479;80
HoarSort;8;224;10;478;4;501;4;433;80
LomutoSort;15;769;9;505;42;2840;31;3239;80
HeapSort;28;0;32;0;33;0;28;0;80
BubbleSort;51;4005;52;4005;21;4005;65;4005;90
BubbleSortIverson1;49;3885;52;3960;3;177;63;4005;90
BubbleSortIverson1&2;58;3871;61;3817;3;176;70;4005;90
SelectionSort;23;4005;25;4005;20;4005;22;4005;90
LinearInsertionSort;31;1767;36;2107;2;11;64;4005;90
BinaryInsertionSort;29;2246;32;2564;4;514;51;4425;90
CountingSort;414;0;427;0;428;0;424;0;90
RadixSort;70;5580;81;5580;70;5580;67;5580;90
MergeSort;50;538;49;538;47;538;46;538;90
HoarSort;9;236;12;507;6;575;5;503;90
LomutoSort;15;936;11;576;53;3563;38;4094;90
HeapSort;32;0;36;0;38;0;32;0;90
BubbleSort;62;4950;63;4950;26;4950;78;4950;100
BubbleSortIverson1;64;4740;63;4922;3;197;78;4950;100
BubbleSortIverson1&2;71;4740;73;4922;3;196;86;4950;100
SelectionSort;27;4950;30;4950;25;4950;26;4950;100
LinearInsertionSort;38;2220;39;2359;2;17;78;4950;100
BinaryInsertionSort;33;2765;36;2880;5;590;61;5430;100
CountingSort;413;0;434;0;427;0;428;0;100
RadixSort;76;6200;89;6200;78;6200;73;6200;100
MergeSort;58;598;55;598;52;598;50;598;100
HoarSort;10;302;12;565;7;643;5;573;100
LomutoSort;21;1289;12;829;64;4152;46;5049;100
HeapSort;37;0;40;0;44;0;36;0;100
BubbleSort;70;5995;78;5995;31;5995;92;5995;110
BubbleSortIverson1;68;5670;75;5875;3;217;92;5995;110
BubbleSortIverson1&2;80;5510;88;5811;3;217;103;5995;110
SelectionSort;32;5995;35;5995;30;5995;32;5995;110
