sort_name;random_time_small;random_steps_small;random_time_big;random_steps_big;sorted_time;sorted_steps;reversed_time;reversed_steps;arr_len
LinearInsertionSort;40;2397;48;2962;3;14;94;5995;110
BinaryInsertionSort;35;2999;44;3565;5;657;72;6535;110
CountingSort;414;0;433;0;429;0;429;0;110
RadixSort;88;6820;100;6820;83;6820;78;6820;110
MergeSort;64;659;60;659;56;659;56;659;110
HoarSort;11;394;12;573;8;731;6;643;110
LomutoSort;23;1397;15;818;77;5338;56;6104;110
HeapSort;42;0;45;0;49;0;41;0;110
BubbleSort;83;7140;90;7140;36;7140;109;7140;120
BubbleSortIverson1;83;7035;89;6930;2;237;109;7140;120
BubbleSortIverson1&2;99;6992;106;6816;4;236;121;7140;120
SelectionSort;37;7140;40;7140;35;7140;37;7140;120
LinearInsertionSort;49;2984;57;3502;4;17;112;7140;120
BinaryInsertionSort;43;3660;51;4170;6;730;86;7740;120
CountingSort;417;0;437;0;430;0;429;0;120
RadixSort;90;7440;105;7440;90;7440;85;7440;120
MergeSort;69;720;66;720;60;720;59;720;120
HoarSort;13;292;14;810;8;808;6;713;120
LomutoSort;26;1613;15;895;91;6287;65;7259;120
HeapSort;46;0;52;0;53;0;45;0;120
BubbleSort;100;8385;107;8385;42;8385;129;8385;130
BubbleSortIverson1;97;8109;107;8375;2;257;127;8385;130
BubbleSortIverson1&2;118;8002;125;8022;3;248;156;8385;130
SelectionSort;41;8385;44;8385;40;8385;41;8385;130
LinearInsertionSort;58;3681;68;4347;1;12;131;8385;130
BinaryInsertionSort;51;4422;59;5083;7;797;97;9048;130
CountingSort;414;0;414;0;424;0;401;0;130
RadixSort;88;8060;104;8060;88;8060;83;8060;130
MergeSort;68;905;69;905;64;905;75;905;130
HoarSort;12;419;14;696;7;895;6;785;130
LomutoSort;26;1798;15;1052;97;7683;68;8514;130
HeapSort;45;0;50;0;53;0;45;0;130
BubbleSort;102;9730;110;9730;44;9730;135;9730;140
BubbleSortIverson1;112;9540;105;9694;3;277;129;9730;140
BubbleSortIverson1&2;117;9317;125;9465;3;265;146;9730;140
SelectionSort;43;9730;47;9730;42;9730;44;9730;140
LinearInsertionSort;68;3825;67;4757;2;20;131;9730;140
BinaryInsertionSort;47;4636;57;5576;7;885;100;10463;140
CountingSort;359;0;389;0;365;0;366;0;140
RadixSort;86;8680;103;8680;89;8680;82;8680;140
MergeSort;66;977;66;977;62;977;60;977;140
HoarSort;12;527;14;839;9;973;6;865;140
LomutoSort;29;2134;14;1041;100;8336;74;9869;140
HeapSort;46;0;53;0;53;0;47;0;140
BubbleSort;114;11175;123;11175;48;11175;143;11175;150
BubbleSortIverson1;113;10824;122;11165;3;297;142;11175;150
BubbleSortIverson1&2;136;10709;142;11103;4;297;160;11175;150
SelectionSort;47;11175;50;11175;45;11175;47;11175;150
LinearInsertionSort;65;4860;124;6055;2;23;148;11175;150
BinaryInsertionSort;56;5759;70;6935;6;968;116;11978;150
CountingSort;350;0;370;0;367;0;365;0;150
RadixSort;91;9300;108;9300;95;9300;87;9300;150
MergeSort;71;1047;73;1047;66;1047;65;1047;150
HoarSort;12;401;15;839;8;1058;6;945;150
LomutoSort;32;2443;16;1109;116;9572;84;11324;150
HeapSort;51;0;56;0;59;0;50;0;150
BubbleSort;121;12720;129;12720;53;12720;163;12720;160
BubbleSortIverson1;119;12467;128;12567;2;317;160;12720;160
BubbleSortIverson1&2;141;12161;149;12027;3;316;180;12720;160
SelectionSort;55;12720;56;12720;111;12720;53;12720;160
LinearInsertionSort;68;4991;76;5605;2;22;168;12720;160
BinaryInsertionSort;59;5955;164;6576;7;1047;309;13593;160
CountingSort;731;0;621;0;448;0;542;0;160
RadixSort;201;9920;148;9920;100;9920;92;9920;160
MergeSort;75;1119;135;1119;70;1119;68;1119;160
HoarSort;13;465;16;1025;9;1148;7;1025;160
LomutoSort;37;2939;17;1158;130;10885;96;12879;160
HeapSort;57;0;63;0;64;0;54;0;160
BubbleSort;148;14365;303;14365;62;14365;184;14365;170
BubbleSortIverson1;278;14014;291;14155;2;337;219;14365;170
BubbleSortIverson1&2;175;13857;188;13971;3;337;206;14365;170
SelectionSort;60;14365;63;14365;57;14365;60;14365;170
LinearInsertionSort;90;6528;105;7745;3;27;190;14365;170
BinaryInsertionSort;75;7558;88;8774;7;1132;143;15308;170
CountingSort;353;0;379;0;373;0;369;0;170
RadixSort;104;10540;123;10540;107;10540;101;10540;170
MergeSort;84;1187;82;1187;90;1187;74;1187;170
HoarSort;15;500;19;1098;11;1236;7;1105;170
LomutoSort;41;2953;20;1293;147;12081;113;14534;170
HeapSort;59;0;67;0;71;0;127;0;170
BubbleSort;163;16110;175;16110;69;16110;212;16110;180
BubbleSortIverson1;159;15582;172;15614;3;357;209;16110;180
BubbleSortIverson1&2;191;15522;203;15332;3;341;236;16110;180
SelectionSort;68;16110;73;16110;66;16110;68;16110;180
LinearInsertionSort;90;6330;109;7847;3;25;218;16110;180
BinaryInsertionSort;75;7454;91;8953;7;1210;165;17123;180
CountingSort;359;0;391;0;384;0;382;0;180
RadixSort;112;11160;133;11160;115;11160;171;11160;180
MergeSort;166;1258;162;1258;202;1258;237;1258;180
HoarSort;31;640;43;1580;10;1326;8;1185;180
LomutoSort;77;3157;60;1751;207;13985;283;16289;180
HeapSort;114;0;90;0;76;0;65;0;180
BubbleSort;180;17955;199;17955;78;17955;236;17955;190
BubbleSortIverson1;177;17252;197;17889;3;377;234;17955;190
BubbleSortIverson1&2;214;16966;235;17637;3;370;263;17955;190
SelectionSort;75;17955;81;17955;72;17955;75;17955;190
LinearInsertionSort;104;7449;128;9257;3;27;243;17955;190
BinaryInsertionSort;87;8651;142;10440;33;1292;259;19038;190
CountingSort;409;0;485;0;386;0;384;0;190
RadixSort;126;11780;140;11780;121;11780;112;11780;190
MergeSort;90;1329;92;1329;179;1329;114;1329;190
HoarSort;17;481;21;1140;10;1414;8;1265;190
LomutoSort;49;3605;23;1580;187;15512;137;18144;190
HeapSort;68;0;77;0;81;0;70;0;190
BubbleSort;197;19900;210;19900;84;19900;261;19900;200
BubbleSortIverson1;195;19305;351;19834;3;397;262;19900;200
BubbleSortIverson1&2;233;19157;358;19349;4;397;342;19900;200
SelectionSort;84;19900;88;19900;81;19900;83;19900;200
LinearInsertionSort;111;7970;128;9263;2;25;271;19900;200
BinaryInsertionSort;92;9248;107;10511;8;1370;201;21053;200
CountingSort;399;0;392;0;388;0;385;0;200
RadixSort;124;12400;146;12400;126;12400;118;12400;200
MergeSort;96;1398;97;1398;89;1398;87;1398;200
HoarSort;18;639;20;1288;10;1502;9;1345;200
LomutoSort;53;3992;23;1627;210;17602;151;20099;200
HeapSort;74;0;81;0;86;0;73;0;200
BubbleSort;380;21945;242;21945;95;21945;288;21945;210
BubbleSortIverson1;212;20670;265;21924;4;417;301;21945;210
BubbleSortIverson1&2;252;20524;284;21522;4;415;321;21945;210
SelectionSort;92;21945;97;21945;89;21945;93;21945;210
LinearInsertionSort;161;8768;154;11226;2;32;298;21945;210
BinaryInsertionSort;101;10127;127;12566;31;1457;239;23168;210
CountingSort;365;0;458;0;478;0;421;0;210
RadixSort;133;13020;156;13020;137;13020;125;13020;210
MergeSort;103;1467;106;1467;95;1467;106;1467;210
HoarSort;18;713;22;1341;11;1583;8;1425;210
LomutoSort;60;4476;24;1914;226;18614;244;22154;210
HeapSort;73;0;88;0;106;0;82;0;210
BubbleSort;258;24090;276;24090;107;24090;332;24090;220
BubbleSortIverson1;253;23270;274;24090;3;437;345;24090;220
BubbleSortIverson1&2;319;23084;410;24090;4;435;431;24090;220
SelectionSort;107;24090;113;24090;104;24090;108;24090;220
LinearInsertionSort;150;10113;190;11900;3;27;333;24090;220
BinaryInsertionSort;117;11534;137;13307;9;1532;247;25383;220
CountingSort;385;0;516;0;400;0;399;0;220
RadixSort;146;13640;229;13640;253;13640;167;13640;220
MergeSort;110;1539;110;1539;99;1539;97;1539;220
HoarSort;20;879;24;1426;13;1682;9;1505;220
LomutoSort;66;4827;27;2118;352;20970;222;24309;220
HeapSort;82;0;94;0;98;0;85;0;220
BubbleSort;263;26335;303;26335;112;26335;345;26335;230
BubbleSortIverson1;259;25432;301;25807;3;457;358;26335;230
BubbleSortIverson1&2;352;25246;357;25113;4;446;403;26335;230
SelectionSort;109;26335;115;26335;108;26335;110;26335;230
LinearInsertionSort;142;10297;213;14456;3;25;362;26335;230
BinaryInsertionSort;120;11804;274;15947;10;1610;301;27698;230
CountingSort;378;0;417;0;420;0;421;0;230
RadixSort;206;14260;223;14260;146;14260;137;14260;230
MergeSort;116;1608;114;1608;106;1608;103;1608;230
HoarSort;21;622;26;1712;13;1776;10;1585;230
LomutoSort;72;5477;26;1919;294;24143;204;26564;230
HeapSort;85;0;100;0;104;0;106;0;230
BubbleSort;316;28680;343;28680;131;28680;437;28680;240
BubbleSortIverson1;302;27777;333;28329;4;477;391;28680;240
BubbleSortIverson1&2;366;27777;389;28197;4;455;438;28680;240
SelectionSort;124;28680;132;28680;120;28680;125;28680;240
LinearInsertionSort;172;11931;218;15138;3;33;423;28680;240
BinaryInsertionSort;143;13510;179;16702;11;1698;310;30113;240
CountingSort;439;0;430;0;426;0;409;0;240
RadixSort;146;14880;174;14880;151;14880;138;14880;240
MergeSort;117;1680;116;1680;104;1680;104;1680;240
HoarSort;21;652;25;1597;12;1852;9;1665;240
LomutoSort;72;5630;26;2064;344;25260;215;28919;240
HeapSort;90;0;102;0;105;0;92;0;240
BubbleSort;308;31125;337;31125;133;31125;408;31125;250
BubbleSortIverson1;320;29900;344;30894;4;497;498;31125;250
BubbleSortIverson1&2;372;29452;412;30826;4;488;487;31125;250
SelectionSort;133;31125;221;31125;216;31125;179;31125;250
LinearInsertionSort;171;11942;220;15233;2;26;439;31125;250
BinaryInsertionSort;153;13616;173;16884;11;1771;320;32628;250
CountingSort;387;0;422;0;415;0;481;0;250
RadixSort;155;15500;186;15500;157;15500;162;15500;250
MergeSort;127;1749;128;1749;114;1749;114;1749;250
HoarSort;23;714;28;1828;14;1958;11;1745;250
LomutoSort;82;5959;29;2271;361;28480;244;31374;250
HeapSort;98;0;113;0;117;0;101;0;250
BubbleSort;344;33670;383;33670;149;33670;479;33670;260
BubbleSortIverson1;343;33004;408;33480;4;517;478;33670;260
BubbleSortIverson1&2;429;32642;477;32841;5;511;549;33670;260
SelectionSort;146;33670;156;33670;144;33670;148;33670;260
LinearInsertionSort;198;13615;245;16811;3;41;482;33670;260
BinaryInsertionSort;161;15360;198;18540;12;1870;380;35248;260
CountingSort;399;0;443;0;441;0;450;0;260
RadixSort;165;16120;198;16120;176;16120;156;16120;260
MergeSort;135;2075;137;2075;125;2075;122;2075;260
HoarSort;24;791;28;1608;16;2023;12;1829;260
LomutoSort;89;6591;32;2187;361;28767;291;33929;260
HeapSort;110;0;122;0;128;0;113;0;260
BubbleSort;418;36315;451;36315;165;36315;519;36315;270
BubbleSortIverson1;413;35187;487;36305;5;537;515;36315;270
BubbleSortIverson1&2;498;35187;536;36175;5;530;577;36315;270
SelectionSort;162;36315;171;36315;156;36315;164;36315;270
LinearInsertionSort;240;16117;291;19533;4;38;533;36315;270
BinaryInsertionSort;193;17954;232;21345;12;1957;397;37973;270
CountingSort;401;0;451;0;443;0;440;0;270
RadixSort;179;16740;215;16740;187;16740;171;16740;270
MergeSort;146;2156;148;2156;134;2156;133;2156;270
HoarSort;26;799;32;1828;16;2133;11;1919;270
LomutoSort;101;7163;35;2427;417;31472;300;36584;270
HeapSort;110;0;129;0;135;0;117;0;270
BubbleSort;439;39060;479;39060;178;39060;561;39060;280
BubbleSortIverson1;433;37932;476;39060;5;557;553;39060;280
BubbleSortIverson1&2;512;37932;569;39060;21;555;637;39060;280
SelectionSort;177;39060;188;39060;174;39060;181;39060;280
LinearInsertionSort;245;15957;313;20419;4;40;591;39060;280
BinaryInsertionSort;196;17865;263;22307;14;2049;426;40798;280
CountingSort;401;0;450;0;444;0;508;0;280
RadixSort;181;17360;257;17360;261;17360;276;17360;280
MergeSort;256;2237;487;2237;374;2237;321;2237;280
HoarSort;64;912;47;1812;24;2229;21;2009;280
LomutoSort;173;7766;52;2820;846;33432;624;39339;280
HeapSort;241;0;210;0;202;0;176;0;280
BubbleSort;1145;41905;1096;41905;353;41905;1179;41905;290
BubbleSortIverson1;697;40959;913;41785;8;577;1025;41905;290
BubbleSortIverson1&2;744;40156;667;41132;11;574;934;41905;290
SelectionSort;298;41905;308;41905;290;41905;299;41905;290
LinearInsertionSort;378;16305;523;22158;10;36;1070;41905;290
BinaryInsertionSort;413;18312;466;24128;24;2135;898;43723;290
CountingSort;573;0;627;0;603;0;604;0;290
RadixSort;313;17980;324;17980;298;17980;337;17980;290
MergeSort;278;2315;272;2315;251;2315;232;2315;290
HoarSort;42;899;48;2093;25;2322;21;2099;290
LomutoSort;212;8172;52;2431;894;36256;677;42194;290
HeapSort;195;0;215;0;232;0;177;0;290
BubbleSort;878;44850;886;44850;387;44850;1242;44850;300
BubbleSortIverson1;835;43524;905;43815;7;597;1156;44850;300
BubbleSortIverson1&2;826;43025;1325;43647;9;592;1356;44850;300
SelectionSort;366;44850;414;44850;368;44850;287;44850;300
LinearInsertionSort;462;18267;481;20730;5;27;1039;44850;300
BinaryInsertionSort;354;20343;384;22799;24;2216;825;46748;300
CountingSort;567;0;626;0;623;0;610;0;300
RadixSort;327;18600;347;18600;328;18600;303;18600;300
MergeSort;268;2397;272;2397;250;2397;250;2397;300
HoarSort;46;976;50;2146;24;2445;22;2189;300
LomutoSort;248;8960;60;2772;1099;40273;719;45149;300
HeapSort;186;0;210;0;220;0;191;0;300
