sort_name;random_time_small;random_steps_small;random_time_big;random_steps_big;sorted_time;sorted_steps;reversed_time;reversed_steps;arr_len
HeapSort;1716;0;2193;0;2711;0;1879;0;3100
BubbleSort;67976;5.1184e+06;64201;5.1184e+06;25856;5.1184e+06;79398;5.1184e+06;3200
BubbleSortIverson1;59806;4.99114e+06;64932;5.11524e+06;39;6397;74830;5.1184e+06;3200
BubbleSortIverson1&2;69626;4.98268e+06;84249;5.11071e+06;55;6392;112194;5.1184e+06;3200
SelectionSort;26492;5.1184e+06;25045;5.1184e+06;25147;5.1184e+06;25842;5.1184e+06;3200
LinearInsertionSort;32905;2.10637e+06;39263;2.56753e+06;33;451;78069;5.1184e+06;3200
BinaryInsertionSort;23397;2.13947e+06;26946;2.60038e+06;178;34756;55633;5.14952e+06;3200
CountingSort;457;0;1240;0;1054;0;1086;0;3200
RadixSort;1843;198400;2361;198400;2088;198400;2066;198400;3200
MergeSort;1932;35198;1824;35198;1654;35198;1809;35198;3200
HoarSort;322;11095;442;33343;169;36776;144;34305;3200
LomutoSort;10703;864118;512;41887;57885;4.41099e+06;38131;5.1216e+06;3200
HeapSort;1974;0;2202;0;2331;0;2088;0;3200
BubbleSort;62298;5.44335e+06;71884;5.44335e+06;25054;5.44335e+06;87221;5.44335e+06;3300
BubbleSortIverson1;66158;5.3171e+06;74279;5.44152e+06;44;6597;82417;5.44335e+06;3300
BubbleSortIverson1&2;73783;5.30412e+06;78496;5.4359e+06;57;6597;89302;5.44335e+06;3300
SelectionSort;22724;5.44335e+06;23533;5.44335e+06;23217;5.44335e+06;26438;5.44335e+06;3300
LinearInsertionSort;37323;2.29116e+06;42968;2.7001e+06;33;445;81726;5.44335e+06;3300
BinaryInsertionSort;24578;2.32544e+06;29012;2.73412e+06;173;35950;59360;5.47557e+06;3300
CountingSort;476;0;1208;0;1055;0;1062;0;3300
RadixSort;2150;204600;2621;204600;2521;204600;1778;204600;3300
MergeSort;1833;36296;2779;36296;1628;36296;1540;36296;3300
HoarSort;507;10164;483;35376;169;38059;146;35505;3300
LomutoSort;13611;921103;558;47793;63080;4.7437e+06;45669;5.44665e+06;3300
HeapSort;1918;0;2364;0;2474;0;2298;0;3300
BubbleSort;66641;5.7783e+06;73648;5.7783e+06;26123;5.7783e+06;90906;5.7783e+06;3400
BubbleSortIverson1;72242;5.61727e+06;76534;5.77811e+06;63;6797;86135;5.7783e+06;3400
BubbleSortIverson1&2;80807;5.61727e+06;93005;5.77259e+06;50;6788;100670;5.7783e+06;3400
SelectionSort;23305;5.7783e+06;24584;5.7783e+06;25822;5.7783e+06;24847;5.7783e+06;3400
LinearInsertionSort;37399;2.45468e+06;41363;2.86277e+06;30;461;83615;5.7783e+06;3400
BinaryInsertionSort;25963;2.4901e+06;31072;2.89798e+06;182;37166;62259;5.81162e+06;3400
CountingSort;464;0;1172;0;1025;0;998;0;3400
RadixSort;2170;210800;2355;210800;2333;210800;2092;210800;3400
MergeSort;2047;37396;2309;37396;1811;37396;1835;37396;3400
HoarSort;594;12628;474;35660;177;39349;155;36705;3400
LomutoSort;12383;981068;690;47499;63236;4.9844e+06;46398;5.7817e+06;3400
HeapSort;2026;0;2517;0;2585;0;2365;0;3400
BubbleSort;74269;6.12325e+06;78109;6.12325e+06;26793;6.12325e+06;81579;6.12325e+06;3500
BubbleSortIverson1;72556;5.95184e+06;79910;6.12062e+06;49;6997;85423;6.12325e+06;3500
BubbleSortIverson1&2;79618;5.94595e+06;87766;6.10549e+06;61;6978;101605;6.12325e+06;3500
SelectionSort;28076;6.12325e+06;25299;6.12325e+06;24647;6.12325e+06;28435;6.12325e+06;3500
LinearInsertionSort;35554;2.49934e+06;44274;3.05786e+06;32;519;92568;6.12325e+06;3500
BinaryInsertionSort;26894;2.53596e+06;30391;3.09423e+06;184;38424;63715;6.15767e+06;3500
CountingSort;499;0;1302;0;1333;0;1395;0;3500
RadixSort;3030;217000;2462;217000;2453;217000;2223;217000;3500
MergeSort;2024;38497;2444;38497;2525;38497;1753;38497;3500
HoarSort;391;9547;513;38134;302;40559;198;37905;3500
LomutoSort;13618;1.03499e+06;625;49332;70298;5.22254e+06;46937;6.12675e+06;3500
HeapSort;2061;0;2365;0;2390;0;2224;0;3500
BubbleSort;74130;6.4782e+06;79682;6.4782e+06;29021;6.4782e+06;94038;6.4782e+06;3600
BubbleSortIverson1;71900;6.28195e+06;90817;6.47592e+06;44;7197;91077;6.4782e+06;3600
BubbleSortIverson1&2;95428;6.27551e+06;92759;6.46389e+06;51;7187;113903;6.4782e+06;3600
SelectionSort;27503;6.4782e+06;30314;6.4782e+06;28131;6.4782e+06;28637;6.4782e+06;3600
LinearInsertionSort;43136;2.69332e+06;52854;3.21896e+06;38;494;100851;6.4782e+06;3600
BinaryInsertionSort;31595;2.7312e+06;38095;3.25653e+06;236;39599;75134;6.51372e+06;3600
CountingSort;558;0;1372;0;1279;0;1233;0;3600
RadixSort;2474;223200;2974;223200;2648;223200;2333;223200;3600
MergeSort;2242;39596;2403;39596;2079;39596;2061;39596;3600
HoarSort;435;12999;608;39056;230;41926;196;39105;3600
LomutoSort;15858;1.09145e+06;779;51780;76215;5.59286e+06;52272;6.4818e+06;3600
HeapSort;2210;0;2472;0;2590;0;2365;0;3600
BubbleSort;82019;6.84315e+06;90869;6.84315e+06;34150;6.84315e+06;106458;6.84315e+06;3700
BubbleSortIverson1;84996;6.64249e+06;79828;6.84066e+06;76;7397;93439;6.84315e+06;3700
BubbleSortIverson1&2;100021;6.6285e+06;106556;6.8219e+06;57;7395;109810;6.84315e+06;3700
SelectionSort;27993;6.84315e+06;27743;6.84315e+06;29088;6.84315e+06;29036;6.84315e+06;3700
LinearInsertionSort;46946;2.87125e+06;53276;3.4422e+06;30;520;104763;6.84315e+06;3700
BinaryInsertionSort;34611;2.91032e+06;41754;3.48090e+06;254;40825;72570;6.87977e+06;3700
CountingSort;588;0;1438;0;1309;0;1305;0;3700
RadixSort;2608;229400;3206;229400;2827;229400;2486;229400;3700
MergeSort;2405;40697;2565;40697;2184;40697;2172;40697;3700
HoarSort;467;10498;641;40763;242;43180;211;40305;3700
LomutoSort;16905;1.15878e+06;750;51175;82025;5.87901e+06;60810;6.84685e+06;3700
HeapSort;2540;0;2972;0;3041;0;2733;0;3700
BubbleSort;89523;7.2181e+06;85058;7.2181e+06;31266;7.2181e+06;102978;7.2181e+06;3800
BubbleSortIverson1;80973;7.01426e+06;100998;7.21677e+06;53;7597;100658;7.2181e+06;3800
BubbleSortIverson1&2;99804;7.01426e+06;103343;7.19288e+06;54;7592;112651;7.2181e+06;3800
SelectionSort;31318;7.2181e+06;31641;7.2181e+06;30634;7.2181e+06;29884;7.2181e+06;3800
LinearInsertionSort;42330;3.02249e+06;51519;3.54093e+06;34;526;103133;7.2181e+06;3800
BinaryInsertionSort;30918;3.06264e+06;36370;3.58087e+06;260;42031;75650;7.25582e+06;3800
CountingSort;734;0;1171;0;1084;0;1100;0;3800
RadixSort;2178;235600;3417;235600;2330;235600;2026;235600;3800
MergeSort;2085;41798;2277;41798;1894;41798;2022;41798;3800
HoarSort;423;10210;574;37950;211;44482;185;41505;3800
LomutoSort;17135;1.21736e+06;1698;55194;80713;6.22118e+06;58350;7.2219e+06;3800
HeapSort;3097;0;3826;0;3818;0;3243;0;3800
BubbleSort;93580;7.60305e+06;92604;7.60305e+06;35301;7.60305e+06;109759;7.60305e+06;3900
BubbleSortIverson1;95146;7.40617e+06;98094;7.60267e+06;49;7797;108543;7.60305e+06;3900
BubbleSortIverson1&2;112816;7.40487e+06;135891;7.58128e+06;76;7792;159093;7.60305e+06;3900
SelectionSort;40987;7.60305e+06;40782;7.60305e+06;40371;7.60305e+06;49887;7.60305e+06;3900
LinearInsertionSort;70479;3.19248e+06;85174;3.74633e+06;52;542;149820;7.60305e+06;3900
BinaryInsertionSort;46389;3.23385e+06;54635;3.78748e+06;311;43247;109574;7.64187e+06;3900
CountingSort;703;0;1817;0;1684;0;1620;0;3900
RadixSort;3341;241800;4050;241800;3591;241800;3196;241800;3900
MergeSort;3024;42898;3340;42898;2790;42898;2770;42898;3900
HoarSort;609;14773;872;40259;309;45822;279;42705;3900
LomutoSort;22669;1.28269e+06;1031;54435;114606;6.54098e+06;80418;7.60695e+06;3900
HeapSort;3177;0;3773;0;3904;0;3583;0;3900
BubbleSort;122441;7.998e+06;131767;7.998e+06;48000;7.998e+06;115082;7.998e+06;4000
BubbleSortIverson1;92912;7.80112e+06;99775;7.99744e+06;48;7997;108164;7.998e+06;4000
BubbleSortIverson1&2;106892;7.79722e+06;115905;7.98912e+06;61;7987;126708;7.998e+06;4000
SelectionSort;33083;7.998e+06;32662;7.998e+06;31544;7.998e+06;32824;7.998e+06;4000
LinearInsertionSort;49681;3.3398e+06;58401;3.96513e+06;42;575;135855;7.998e+06;4000
BinaryInsertionSort;63133;3.38239e+06;45382;4.00746e+06;227;44480;87965;8.03792e+06;4000
CountingSort;592;0;1418;0;1363;0;1363;0;4000
RadixSort;2807;248000;3328;248000;3063;248000;2733;248000;4000
MergeSort;2556;43999;2812;43999;2390;43999;2421;43999;4000
HoarSort;528;10737;719;43209;268;47100;234;43905;4000
LomutoSort;20238;1.34557e+06;792;57915;89125;6.81411e+06;70235;8.002e+06;4000
HeapSort;2726;0;2841;0;3614;0;2801;0;4000
BubbleSort;99030;8.40295e+06;106590;8.40295e+06;44166;8.40295e+06;122130;8.40295e+06;4100
BubbleSortIverson1;96656;8.18745e+06;103199;8.39886e+06;49;8197;114968;8.40295e+06;4100
BubbleSortIverson1&2;109633;8.18337e+06;116275;8.37630e+06;70;8189;135893;8.40295e+06;4100
SelectionSort;35285;8.40295e+06;36610;8.40295e+06;35218;8.40295e+06;36282;8.40295e+06;4100
LinearInsertionSort;55889;3.54619e+06;59806;4.1941e+06;42;565;122615;8.40295e+06;4100
BinaryInsertionSort;35981;3.58994e+06;46853;4.23763e+06;224;45674;85729;8.44397e+06;4100
CountingSort;469;0;1320;0;1141;0;1110;0;4100
RadixSort;2560;254200;2803;254200;3147;254200;2192;254200;4100
MergeSort;2238;49191;2918;49191;2096;49191;1957;49191;4100
HoarSort;416;13066;562;46111;419;48429;182;45109;4100
LomutoSort;19702;1.4129e+06;796;57280;94247;7.25183e+06;65302;8.40705e+06;4100
HeapSort;2581;0;3107;0;3333;0;2996;0;4100
