sort_name;random_time_small;random_steps_small;random_time_big;random_steps_big;sorted_time;sorted_steps;reversed_time;reversed_steps;arr_len
RadixSort;762;55800;946;55800;822;55800;731;55800;900
MergeSort;649;8096;676;8096;605;8096;587;8096;900
HoarSort;119;2617;158;7858;69;8660;55;7977;900
LomutoSort;1232;70316;208;11933;5831;341931;4266;405449;900
HeapSort;604;0;698;0;722;0;642;0;900
BubbleSort;7741;499500;8192;499500;2949;499500;9460;499500;1000
BubbleSortIverson1;8396;480585;9578;499310;30;1997;11347;499500;1000
BubbleSortIverson1&2;9326;479615;10264;494112;21;1996;10917;499500;1000
SelectionSort;2748;499500;3000;499500;3199;499500;3176;499500;1000
LinearInsertionSort;4029;209611;4853;245787;15;138;9994;499500;1000
BinaryInsertionSort;3022;218269;3561;254370;67;9115;7125;507487;1000
CountingSort;612;0;822;0;783;0;771;0;1000
RadixSort;837;62000;1044;62000;876;62000;791;62000;1000
MergeSort;720;8999;773;8999;668;8999;651;8999;1000
HoarSort;167;3473;178;8005;74;9773;62;8977;1000
LomutoSort;1777;87229;211;11817;11798;429982;9099;500499;1000
HeapSort;1066;0;1244;0;1343;0;1163;0;1000
BubbleSort;11340;604450;10624;604450;3950;604450;11783;604450;1100
BubbleSortIverson1;9800;587614;10467;604279;27;2197;11367;604450;1100
BubbleSortIverson1&2;10731;587614;11581;604068;24;2196;12373;604450;1100
SelectionSort;3316;604450;3392;604450;3296;604450;3416;604450;1100
LinearInsertionSort;4672;241897;5919;305628;15;153;11513;604450;1100
BinaryInsertionSort;3353;251599;4274;315218;72;10206;8147;613414;1100
CountingSort;550;0;828;0;785;0;782;0;1100
RadixSort;894;68200;1065;68200;939;68200;846;68200;1100
MergeSort;787;10995;823;10995;726;10995;712;10995;1100
HoarSort;145;3087;191;9311;80;10929;65;10053;1100
LomutoSort;1789;106847;215;12353;8532;521527;5940;605549;1100
HeapSort;706;0;828;0;857;0;763;0;1100
BubbleSort;10204;719400;11139;719400;4072;719400;12718;719400;1200
BubbleSortIverson1;10230;695529;11266;715914;23;2397;13223;719400;1200
BubbleSortIverson1&2;12578;688557;13899;712409;26;2378;16117;719400;1200
SelectionSort;4077;719400;4155;719400;4055;719400;4193;719400;1200
LinearInsertionSort;5876;292220;6919;345800;16;174;14473;719400;1200
BinaryInsertionSort;4330;302911;5152;356390;85;11327;10500;729364;1200
CountingSort;603;0;959;0;890;0;861;0;1200
RadixSort;1036;74400;1250;74400;1113;74400;1000;74400;1200
MergeSort;911;11997;956;11997;844;11997;835;11997;1200
HoarSort;170;3605;226;10068;93;12070;76;11153;1200
LomutoSort;2256;125411;290;15364;10709;609336;7809;720599;1200
HeapSort;859;0;1010;0;1049;0;931;0;1200
BubbleSort;13386;844350;14587;844350;5226;844350;16164;844350;1300
BubbleSortIverson1;13338;821984;14046;844119;25;2597;15718;844350;1300
BubbleSortIverson1&2;14912;820327;16199;843228;28;2591;17386;844350;1300
SelectionSort;4615;844350;4708;844350;4588;844350;4754;844350;1300
LinearInsertionSort;6888;351599;8296;425422;17;199;16353;844350;1300
BinaryInsertionSort;4998;363346;6066;437094;90;12452;11771;855314;1300
CountingSort;588;0;931;0;890;0;872;0;1300
RadixSort;1087;80600;1328;80600;1153;80600;1040;80600;1300
MergeSort;946;12995;1001;12995;882;12995;870;12995;1300
HoarSort;176;3808;237;10827;98;13249;78;12253;1300
LomutoSort;2522;146486;272;16834;12027;713373;8768;845649;1300
HeapSort;917;0;1070;0;1110;0;987;0;1300
BubbleSort;14876;979300;16049;979300;5923;979300;18299;979300;1400
BubbleSortIverson1;14668;954990;15945;978634;25;2797;17957;979300;1400
BubbleSortIverson1&2;17066;953069;18488;976515;31;2793;19654;979300;1400
SelectionSort;5097;979300;5098;979300;4929;979300;4811;979300;1400
LinearInsertionSort;6430;400979;7634;488798;15;202;15322;979300;1400
BinaryInsertionSort;4417;413752;5077;501523;69;13555;9689;991264;1400
CountingSort;776;0;740;0;1270;0;843;0;1400
RadixSort;1225;86800;1559;86800;986;86800;769;86800;1400
MergeSort;1122;13998;1441;13998;994;13998;663;13998;1400
HoarSort;137;4141;184;13077;74;14411;61;13353;1400
LomutoSort;2119;168180;206;16678;10486;840213;7237;980699;1400
HeapSort;706;0;812;0;993;0;748;0;1400
BubbleSort;16301;1.12425e+06;14770;1.12425e+06;5525;1.12425e+06;16999;1.12425e+06;1500
BubbleSortIverson1;14287;1.09262e+06;15516;1.12085e+06;22;2997;17048;1.12425e+06;1500
BubbleSortIverson1&2;16175;1.09262e+06;17805;1.11883e+06;36;2990;20167;1.12425e+06;1500
